"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.513069500E-2,2.489805222E-3,-1.356311142E-3,-3.356647491E-2,3.368600523E-2
4.514054100E-2,2.875971794E-2,1.072672009E-2,-9.582138062E-2,1.006176967E-1
5.515038700E-2,4.066818953E-2,-8.321054280E-3,-7.906627655E-2,8.930071484E-2
6.512946400E-2,3.681778908E-2,1.126114279E-2,-8.698463440E-2,9.512460014E-2
7.513931000E-2,4.217225313E-2,4.009015858E-3,-6.340980530E-2,7.625860312E-2
8.514915600E-2,3.407967091E-2,4.062429070E-3,-7.808685303E-2,8.529644726E-2
9.512831000E-2,3.647917509E-2,-7.325187325E-4,-9.031772614E-2,9.740923187E-2
1.051380790E-1,5.168589950E-2,8.841089904E-3,-7.377147675E-2,9.050871703E-2
1.151479260E-1,4.011240602E-2,1.381136477E-3,-6.717014313E-2,7.824794427E-2
1.251270790E-1,3.334146738E-2,-3.476724029E-3,-7.445716858E-2,8.165544079E-2
1.351368490E-1,3.711512685E-2,6.150320172E-3,-8.648109436E-2,9.430980204E-2
1.451464640E-1,2.256852388E-2,1.475647092E-3,-7.691478729E-2,8.017106903E-2
1.551258490E-1,8.227080107E-3,1.346085966E-2,-7.028961182E-2,7.203824761E-2
1.651356180E-1,2.659857273E-3,-2.005796134E-2,-6.541824341E-2,6.847585870E-2
1.751454640E-1,-1.776576042E-3,-9.732991457E-4,-6.288242340E-2,6.291504356E-2
1.851246180E-1,-1.284116507E-2,1.420900226E-3,-5.313491821E-2,5.468303221E-2
1.951343870E-1,-2.100169659E-2,-1.061583310E-2,-7.687759399E-2,8.039857978E-2
2.051442330E-1,-1.416850090E-2,6.077289581E-3,-4.791450500E-2,5.033368312E-2
2.151233870E-1,-2.866417170E-2,-1.553975046E-2,-5.963897705E-2,6.797003874E-2
2.251332330E-1,-3.818535805E-2,-3.634914756E-3,-5.219650269E-2,6.477506516E-2
2.351430030E-1,-5.469846725E-2,-1.246878505E-2,-3.963375092E-2,6.868935239E-2
